model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
breast-RadImageNet-freezeFalse,RadImageNet,fold1,breast,0.7105633383832106,0.37536158293461874,0.2807515201390237,0.21674052388344706,0.1952448386057361
breast-RadImageNet-freezeFalse,RadImageNet,fold2,breast,0.6993625617369703,0.3852560049269769,0.27722263073155057,0.20543862522576556,0.19221712889634696
breast-RadImageNet-freezeFalse,RadImageNet,fold3,breast,0.6841714296316139,0.3799201778893056,0.27741500181156414,0.2188932574452708,0.20167456140840817
breast-RadImageNet-freezeFalse,RadImageNet,fold4,breast,0.7055657111966471,0.38590225090439845,0.279293990079059,0.2187512006123625,0.20355002235687655
breast-RadImageNet-freezeFalse,RadImageNet,fold5,breast,0.685817117405365,0.37615708198597364,0.27453266525463293,0.21798260111843656,0.20130318699040123
breast-ImageNet-freezeFalse,ImageNet,fold1,breast,0.8952855174082324,0.8965546744272626,0.8104375873537313,0.602725677130642,0.3738575372346477
breast-ImageNet-freezeFalse,ImageNet,fold2,breast,0.8733236727281852,0.865926725194415,0.7657614850096888,0.5286058806377595,0.31461805917301977
breast-ImageNet-freezeFalse,ImageNet,fold3,breast,0.9123524973655822,0.9349567084317691,0.8723999172522646,0.7272301767200957,0.5070246882080545
breast-ImageNet-freezeFalse,ImageNet,fold4,breast,0.8948134546984298,0.9148109428352289,0.8352429908003793,0.638801689432609,0.40540879619109493
breast-ImageNet-freezeFalse,ImageNet,fold5,breast,0.9033755615419594,0.9278003370156418,0.8580452031685318,0.6874793608592442,0.4475252929896888
breast-ImageNet-freezeFalse,breast-RadImageNet-freezeFalse,fold1,breast,0.56007837272497,0.36114300309959857,0.2725304179043841,0.1828143095106356,0.15916764561070895
breast-ImageNet-freezeFalse,breast-RadImageNet-freezeFalse,fold2,breast,0.5611596498879575,0.3558455911355612,0.26992616311092543,0.1732593162005407,0.16199614715721097
breast-ImageNet-freezeFalse,breast-RadImageNet-freezeFalse,fold3,breast,0.570272822793672,0.36280591550596764,0.2733179251642528,0.18809405119215986,0.16272555306474268
breast-ImageNet-freezeFalse,breast-RadImageNet-freezeFalse,fold4,breast,0.5578467217835422,0.3612551704781758,0.27329352860247286,0.18656930442541397,0.162208459712958
breast-ImageNet-freezeFalse,breast-RadImageNet-freezeFalse,fold5,breast,0.5625324621806831,0.3614569033392682,0.2703346749116553,0.18589641782849484,0.160188961780687
ImageNet,RadImageNet,fold1,breast,0.5437736620021936,0.3372864111592831,0.280720685601215,0.22666180640993133,0.16190735889780955
ImageNet,RadImageNet,fold2,breast,0.532838123212552,0.33192407700092297,0.279930622863951,0.22549019559230685,0.16562467757687038
ImageNet,RadImageNet,fold3,breast,0.5525610639904109,0.3363808397710329,0.2814342164830374,0.22974040871557744,0.16208250308317945
ImageNet,RadImageNet,fold4,breast,0.5450567791494964,0.3318618562336785,0.2830316609186988,0.22742164117311314,0.17435410164051232
ImageNet,RadImageNet,fold5,breast,0.5254533034237987,0.3387974061461284,0.27722300165935565,0.23044334963786736,0.15917316567910939
breast-ImageNet-freezeFalse,random,fold1,breast,0.533653597612023,0.30589700885423426,0.23289336827008045,0.17857607976162532,0.13856005844870925
breast-ImageNet-freezeFalse,random,fold2,breast,0.5351112454847619,0.3043908276784061,0.2378297281511795,0.18716763177687587,0.14528530133998724
breast-ImageNet-freezeFalse,random,fold3,breast,0.534810239471002,0.30565958876299637,0.2328883198365511,0.18389033432929283,0.14448875178046644
breast-ImageNet-freezeFalse,random,fold4,breast,0.5390721827140766,0.30386886526787854,0.23593407662819374,0.1816859200606899,0.14169661358568586
breast-ImageNet-freezeFalse,random,fold5,breast,0.5333106299850168,0.2999304003758045,0.23197075933302536,0.17927734861991826,0.1425812031407348
breast-RadImageNet-freezeFalse,random,fold1,breast,0.548745917183867,0.3285210205030058,0.25156248167531636,0.19794053773248915,0.17043101319417464
breast-RadImageNet-freezeFalse,random,fold2,breast,0.5523211572694763,0.33170863503145626,0.2541841636835343,0.17802974921946163,0.16636091262707725
breast-RadImageNet-freezeFalse,random,fold3,breast,0.5573113946254609,0.33557329462678664,0.2538035500603909,0.20242425797324165,0.1783720120348718
breast-RadImageNet-freezeFalse,random,fold4,breast,0.5561179496318954,0.3320442064229345,0.25851139807449347,0.1985944705804012,0.17720216540847894
breast-RadImageNet-freezeFalse,random,fold5,breast,0.5629882493986779,0.3339062046563618,0.2511196631449721,0.19925919514252635,0.1745579991768033
random,random,fold1,breast,0.5842765031173279,0.4014573222584021,0.3826669478901311,0.387627869560217,0.37775239481069134
random,random,fold2,breast,0.6026722191155549,0.404168219627228,0.3877519901707077,0.39440218344578953,0.38434366388682645
random,random,fold3,breast,0.5959275186896478,0.3997254905632555,0.38501458351997964,0.3910475088746441,0.38222077737763616
random,random,fold4,breast,0.587307861161871,0.39990016452640526,0.38523926383129936,0.3885040575735035,0.3820038674443909
random,random,fold5,breast,0.5922438700656208,0.3999509406463252,0.38501299782007675,0.38450053021323516,0.374806674292635
ImageNet,random,fold1,breast,0.5293003519957271,0.30477096892622607,0.22883852778920702,0.19068296614650035,0.14927944647939947
ImageNet,random,fold2,breast,0.5412384195005249,0.3100579502412836,0.22860473233425754,0.19499435942580778,0.15453263153150135
ImageNet,random,fold3,breast,0.5305881881306902,0.30953686666187297,0.22966554810665502,0.19567928379756552,0.15684256187436618
ImageNet,random,fold4,breast,0.5310434639089529,0.3073064001144104,0.22955281342703393,0.19676358608470734,0.1539068753126533
ImageNet,random,fold5,breast,0.5260456277350563,0.3050580956121568,0.22891162546718782,0.19299507129851315,0.15089311943116507
RadImageNet,random,fold1,breast,0.5754814063171887,0.395464362149212,0.3771416023850285,0.28963436594358705,0.3390169081120099
RadImageNet,random,fold2,breast,0.5752404245169032,0.39700693279281885,0.3898198698170477,0.29631284657463386,0.34563816455870666
RadImageNet,random,fold3,breast,0.569001709787069,0.395186160719429,0.3902613972413122,0.294822003898703,0.33590062765989687
RadImageNet,random,fold4,breast,0.5687414925903818,0.39373579205497233,0.3834451858123068,0.2954163001065284,0.34580091381238426
RadImageNet,random,fold5,breast,0.5727573298029901,0.3859116813956015,0.38212666683334695,0.2930906262182769,0.34205721436018344
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold1,breast,0.9167257426461213,0.9378023223187786,0.8768925042454911,0.6947429469668351,0.4571054843499399
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold2,breast,0.9053621237795587,0.9033455031971916,0.8263047027956205,0.6002484616029111,0.35748274042524314
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold3,breast,0.9416625415018883,0.9540810885801252,0.909801364019075,0.7957754922199328,0.5894415426533566
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold4,breast,0.9104407662906638,0.9345594471170541,0.8786032628926403,0.6909985708042746,0.4593395477796934
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold5,breast,0.9569794725122532,0.9776080276049669,0.9517181535995644,0.854890447180677,0.6577450778878055
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold1,breast,0.9986596247092132,0.9922333629337186,0.9898436405761608,0.9592429984763662,0.8298990715338711
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold2,breast,0.78007789992165,0.4720168595663809,0.33661726552046867,0.18067083597683928,0.14408034809299006
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold3,breast,0.9990361885459791,0.9975660053242461,0.9946717486545591,0.9731688410612435,0.8746376366561691
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold4,breast,0.7344919244943334,0.4590080828546415,0.33881646204330407,0.19707847135666084,0.14642416447608858
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold5,breast,0.9991104546006533,0.9953348715641761,0.9912581507674642,0.9624687916500946,0.8444588031897124
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold1,breast,0.5616336959573184,0.36035410997073347,0.2728069716853766,0.19093398221586416,0.15943526048445097
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold2,breast,0.5397856484778687,0.3379769766002719,0.2444161638809747,0.1812864895715402,0.1278763996217233
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold3,breast,0.5721317334788834,0.3667426524330522,0.2720713721051943,0.19643038124465756,0.16504073255835908
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold4,breast,0.5424541404943213,0.33253380199641736,0.2404574379477281,0.1768007535460066,0.12741074599472962
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold5,breast,0.5668086628414369,0.36542928270826075,0.27189226264028743,0.19055821668746908,0.16217540063821403
breast-ImageNet-freezeTrue,ImageNet,fold1,breast,0.9759821103726101,0.9850676523544312,0.96538505295546,0.9281776444493165,0.8311992392617451
breast-ImageNet-freezeTrue,ImageNet,fold2,breast,0.9706374531082455,0.9849653063967804,0.9678312235635455,0.9231687294337672,0.8317769256210189
breast-ImageNet-freezeTrue,ImageNet,fold3,breast,0.9914802175477423,0.9948713045038762,0.9876686466523512,0.9723321569401534,0.933149645982345
breast-ImageNet-freezeTrue,ImageNet,fold4,breast,0.9897294218289195,0.995255781418947,0.9889564462252862,0.9731608728820185,0.9332267026681762
breast-ImageNet-freezeTrue,ImageNet,fold5,breast,0.9557185918518283,0.9757578190353454,0.9428833585297541,0.8846687369488226,0.7379599275543729
breast-RadImageNet-freezeTrue,RadImageNet,fold1,breast,0.6861972562479992,0.38774941602739627,0.27762674446960656,0.21725426350062804,0.19569604803355198
breast-RadImageNet-freezeTrue,RadImageNet,fold2,breast,0.9469001989285374,0.5740933120955457,0.46537910972809254,0.4686796807192595,0.434724644013697
breast-RadImageNet-freezeTrue,RadImageNet,fold3,breast,0.69489216527728,0.3836479629938812,0.27986142689559496,0.2194314834880627,0.19806157335769925
breast-RadImageNet-freezeTrue,RadImageNet,fold4,breast,0.9427391999854938,0.5443168294834136,0.4552621488767776,0.451120204474864,0.39027863876931
breast-RadImageNet-freezeTrue,RadImageNet,fold5,breast,0.6975840584530406,0.3775935544181749,0.27444057667502864,0.21711827353705568,0.2002162436825296
